FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
0.96,0.96,4/30/2019,4/30/2019,1,0.96,Tue
0.96,0.96,5/15/2019,5/15/2019,1,0.96,Wed
0.96,0.96,7/15/2019,7/15/2019,1,0.96,Mon
0.96,0.96,3/15/2019,3/15/2019,1,0.96,Fri
0.96,0.96,08/10/2019,08/10/2019,1,0.96,Sat
0.48,0.96,12/17/2019,12/18/2019,2,0.96,Tue
0.48,0.96,1/31/2019,02/01/2019,2,0.96,Thu
0.93333,0.93333,9/24/2018,9/24/2018,1,0.93333,Mon
0.93333,0.93333,12/09/2019,12/09/2019,1,0.93333,Mon
0.93333,0.93333,9/23/2019,9/23/2019,1,0.93333,Mon
0.93333,0.93333,05/02/2018,05/02/2018,1,0.93333,Wed
0.93333,0.93333,08/08/2019,08/08/2019,1,0.93333,Thu
0.93333,0.93333,12/17/2019,12/17/2019,1,0.93333,Tue
0.93333,0.93333,11/27/2018,11/27/2018,1,0.93333,Tue
0.92,0.92,10/04/2019,10/04/2019,1,0.92,Fri
0.92,0.92,08/06/2019,08/06/2019,1,0.92,Tue
0.92,0.92,4/24/2018,4/24/2018,1,0.92,Tue
0.92,0.92,08/05/2019,08/05/2019,1,0.92,Mon
0.92,0.92,11/12/2018,11/12/2018,1,0.92,Mon
0.92,0.92,7/18/2019,7/18/2019,1,0.92,Thu
0.92,0.92,9/14/2019,9/14/2019,1,0.92,Sat
0.92,0.92,1/28/2019,1/28/2019,1,0.92,Mon
0.92,0.92,11/16/2019,11/16/2019,1,0.92,Sat
0.92,0.92,8/13/2018,8/13/2018,1,0.92,Mon
0.92,0.92,7/29/2019,7/29/2019,1,0.92,Mon
0.92,0.92,4/23/2019,4/23/2019,1,0.92,Tue
0.92,0.92,11/21/2018,11/21/2018,1,0.92,Wed
0.92,0.92,6/25/2018,6/25/2018,1,0.92,Mon
0.92,0.92,7/14/2019,7/14/2019,1,0.92,Sun
0.92,0.92,11/26/2019,11/26/2019,1,0.92,Tue
0.92,0.92,1/15/2019,1/15/2019,1,0.92,Tue
0.92,0.92,5/14/2019,5/14/2019,1,0.92,Tue
0.90667,0.90667,07/11/2018,07/11/2018,1,0.90667,Wed
0.90667,0.90667,5/21/2018,5/21/2018,1,0.90667,Mon
0.90667,0.90667,12/12/2018,12/12/2018,1,0.90667,Wed
0.90667,0.90667,11/20/2019,11/20/2019,1,0.90667,Wed
0.90667,0.90667,11/22/2019,11/22/2019,1,0.90667,Fri
0.45333,0.90666,6/25/2019,6/26/2019,2,0.90666,Tue
0.45333,0.90666,8/27/2019,8/28/2019,2,0.90666,Tue
0.88,0.88,05/02/2018,05/02/2018,1,0.88,Wed
0.88,0.88,5/30/2018,5/30/2018,1,0.88,Wed
0.88,0.88,7/23/2019,7/23/2019,1,0.88,Tue
0.88,0.88,11/29/2019,11/29/2019,1,0.88,Fri
0.44,0.88,10/03/2018,10/04/2018,2,0.88,Wed
0.44,0.88,10/31/2019,11/01/2019,2,0.88,Thu
0.44,0.88,3/27/2019,3/28/2019,2,0.88,Wed
0.29333,0.87999,11/18/2019,11/20/2019,3,0.87999,Mon
0.86293,0.86293,12/10/2019,12/10/2019,1,0.86293,Tue
0.10667,0.85336,12/13/2019,12/20/2019,8,0.85336,Fri
0.42667,0.85334,10/17/2019,10/18/2019,2,0.85334,Thu
0.42667,0.85334,11/14/2019,11/15/2019,2,0.85334,Thu
0.42667,0.85334,08/12/2018,8/13/2018,2,0.85334,Sun
0.42667,0.85334,2/28/2019,03/01/2019,2,0.85334,Thu
0.42667,0.85334,04/07/2019,04/08/2019,2,0.85334,Sun
0.42667,0.85334,10/01/2018,10/02/2018,2,0.85334,Mon
0.42667,0.85334,12/03/2018,12/04/2018,2,0.85334,Mon
0.42667,0.85334,8/29/2019,8/30/2019,2,0.85334,Thu
0.85333,0.85333,3/15/2018,3/15/2018,1,0.85333,Thu
0.85333,0.85333,2/25/2019,2/25/2019,1,0.85333,Mon
0.85333,0.85333,4/20/2018,4/20/2018,1,0.85333,Fri
0.85333,0.85333,12/09/2019,12/09/2019,1,0.85333,Mon
0.85333,0.85333,2/25/2019,2/25/2019,1,0.85333,Mon
0.85333,0.85333,06/03/2019,06/03/2019,1,0.85333,Mon
0.85,0.85,7/25/2018,7/25/2018,1,0.85,Wed
0.84,0.84,10/25/2018,10/25/2018,1,0.84,Thu
