,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
1847,0.5,1.5,26/01/2018,28/01/2018,3,1.5,Fri
1848,0.74667,1.49334,14/01/2019,15/01/2019,2,1.49334,Mon
1849,0.74667,1.49334,04/07/2018,05/07/2018,2,1.49334,Wed
1850,0.74053,1.48106,24/07/2019,25/07/2019,2,1.48106,Wed
1851,0.49333,1.47999,20/11/2019,22/11/2019,3,1.47999,Wed
1852,0.4848,1.4544,17/01/2018,19/01/2018,3,1.4544,Wed
1853,0.36213,1.44852,03/04/2019,06/04/2019,4,1.44852,Wed
1854,0.72,1.44,21/10/2019,22/10/2019,2,1.44,Mon
1855,0.48,1.44,12/03/2019,14/03/2019,3,1.44,Tue
1856,0.72,1.44,18/02/2018,19/02/2018,2,1.44,Sun
1857,0.72,1.44,08/10/2019,09/10/2019,2,1.44,Tue
1858,0.48,1.44,21/12/2018,23/12/2018,3,1.44,Fri
1859,0.48,1.44,31/01/2019,02/02/2019,3,1.44,Thu
1860,0.48,1.44,16/10/2019,18/10/2019,3,1.44,Wed
1861,0.72,1.44,15/09/2019,16/09/2019,2,1.44,Sun
1862,0.48,1.44,26/02/2019,28/02/2019,3,1.44,Tue
1863,0.48,1.44,08/01/2018,10/01/2018,3,1.44,Mon
1864,0.48,1.44,23/05/2018,25/05/2018,3,1.44,Wed
1865,0.48,1.44,16/05/2019,18/05/2019,3,1.44,Thu
1866,0.48,1.44,27/06/2018,29/06/2018,3,1.44,Wed
1867,0.48,1.44,16/02/2018,18/02/2018,3,1.44,Fri
1868,0.48,1.44,06/12/2018,08/12/2018,3,1.44,Thu
1869,0.72,1.44,03/10/2018,04/10/2018,2,1.44,Wed
1870,0.72,1.44,28/07/2019,29/07/2019,2,1.44,Sun
1871,0.72,1.44,18/08/2019,19/08/2019,2,1.44,Sun
1872,0.72,1.44,29/07/2018,30/07/2018,2,1.44,Sun
1873,0.72,1.44,25/07/2019,26/07/2019,2,1.44,Thu
1874,0.72,1.44,31/05/2018,01/06/2018,2,1.44,Thu
1875,0.72,1.44,25/01/2018,26/01/2018,2,1.44,Thu
1876,0.72,1.44,26/04/2018,27/04/2018,2,1.44,Thu
1877,0.72,1.44,05/12/2019,06/12/2019,2,1.44,Thu
1878,0.72,1.44,05/03/2019,06/03/2019,2,1.44,Tue
1879,0.72,1.44,22/11/2018,23/11/2018,2,1.44,Thu
1880,0.72,1.44,01/01/2019,02/01/2019,2,1.44,Tue
1881,0.48,1.44,12/02/2019,14/02/2019,3,1.44,Tue
1882,0.70667,1.41334,01/02/2018,02/02/2018,2,1.41334,Thu
1883,0.70667,1.41334,25/11/2019,26/11/2019,2,1.41334,Mon
1884,0.7,1.4,18/09/2019,19/09/2019,2,1.4,Wed
1885,0.7,1.4,07/03/2018,08/03/2018,2,1.4,Wed
1886,0.7,1.4,07/03/2018,08/03/2018,2,1.4,Wed
1887,0.69333,1.38666,27/09/2019,28/09/2019,2,1.38666,Fri
1888,0.6928,1.3856,23/05/2018,24/05/2018,2,1.3856,Wed
1889,0.68,1.36,04/02/2019,05/02/2019,2,1.36,Mon
1890,0.68,1.36,30/12/2019,31/12/2019,2,1.36,Mon
1891,0.68,1.36,10/01/2019,11/01/2019,2,1.36,Thu
1892,0.45333,1.35999,12/02/2019,14/02/2019,3,1.35999,Tue
1893,0.66667,1.33334,04/12/2019,05/12/2019,2,1.33334,Wed
1894,0.66667,1.33334,10/07/2019,11/07/2019,2,1.33334,Wed
1895,0.66667,1.33334,23/07/2018,24/07/2018,2,1.33334,Mon
1896,0.66667,1.33334,05/12/2018,06/12/2018,2,1.33334,Wed
1897,0.66667,1.33334,27/12/2019,28/12/2019,2,1.33334,Fri
1898,0.66667,1.33334,21/09/2019,22/09/2019,2,1.33334,Sat
1899,0.66667,1.33334,01/08/2018,02/08/2018,2,1.33334,Wed
1900,0.66667,1.33334,16/07/2019,17/07/2019,2,1.33334,Tue
1901,0.66667,1.33334,17/01/2018,18/01/2018,2,1.33334,Wed
1902,0.66667,1.33334,03/04/2019,04/04/2019,2,1.33334,Wed
1903,0.66667,1.33334,30/12/2019,31/12/2019,2,1.33334,Mon
1904,0.44,1.32,11/06/2018,13/06/2018,3,1.32,Mon
1905,0.65333,1.30666,15/03/2018,16/03/2018,2,1.30666,Thu
1906,0.65,1.3,09/09/2019,10/09/2019,2,1.3,Mon
1907,0.42667,1.28001,28/12/2018,30/12/2018,3,1.28001,Fri
1908,0.42667,1.28001,22/11/2019,24/11/2019,3,1.28001,Fri
